scenario,replications,baseline_mean_latency_ms,capacity_matched_mean_latency_ms,refined_mean_latency_ms,latency_total_improvement_ms,latency_total_ci95_low_ms,latency_total_ci95_high_ms,latency_from_capacity_ms,latency_from_capacity_ci95_low_ms,latency_from_capacity_ci95_high_ms,latency_from_architecture_ms,latency_from_architecture_ci95_low_ms,latency_from_architecture_ci95_high_ms,latency_percent_from_capacity,latency_percent_from_architecture,baseline_mean_success_rate,capacity_matched_mean_success_rate,refined_mean_success_rate,success_total_improvement,success_total_ci95_low,success_total_ci95_high,success_from_capacity,success_from_capacity_ci95_low,success_from_capacity_ci95_high,success_from_architecture,success_from_architecture_ci95_low,success_from_architecture_ci95_high
audit_investigation,30,30018.425884710683,29925.431511296923,798.0115069679108,29220.41437774277,28780.1573823907,29660.671373094843,92.994373413755,5.392175801786507,180.5965710257235,29127.42000432901,28689.652716408244,29565.18729224978,0.3182513848420608,99.68174861515793,0.8983106273699625,0.8983106273699625,0.9678144218029209,0.06950379443295833,0.04786478505484795,0.0911428038110687,0.0,0.0,0.0,0.06950379443295833,0.04786478505484795,0.0911428038110687
consent_based_access,30,7968.034106761233,4238.870711648579,1167.1747558948239,6800.85935086641,6577.823087146079,7023.8956145867405,3729.1633951126537,3522.658547137038,3935.6682430882693,3071.6959557537557,3033.61630366142,3109.7756078460916,54.83370854651728,45.16629145348273,0.8927579888126177,0.8927579888126177,0.9664451119294398,0.07368712311682207,0.06789479102838807,0.07947945520525608,0.0,0.0,0.0,0.07368712311682207,0.06789479102838807,0.07947945520525608
consent_revocation,30,5172.7885501895225,3989.883302071042,1073.0794540966658,4099.709096092858,4013.313156448663,4186.105035737053,1182.905248118482,1114.3390992273648,1251.471397009599,2916.8038479743755,2878.3162742538334,2955.2914216949175,28.853394726123984,71.14660527387599,0.8909263377905633,0.8909263377905633,0.9630065908922265,0.0720802531016633,0.06643609509245542,0.07772441111087118,0.0,0.0,0.0,0.0720802531016633,0.06643609509245542,0.07772441111087118
cross_org_exchange,30,5762.639605166442,4007.1649615633755,995.6541486976024,4766.98545646884,4660.882297501403,4873.088615436278,1755.4746436030653,1660.101510664402,1850.8477765417285,3011.5108128657744,2985.2296385688733,3037.7919871626755,36.82567651262437,63.17432348737562,0.9408270981762944,0.9408270981762944,0.9859498799775912,0.04512278180129702,0.04061370423704358,0.049631859365550465,0.0,0.0,0.0,0.04512278180129702,0.04061370423704358,0.049631859365550465
emergency_access,30,6610.416254240373,3931.7714885504197,970.8431361938639,5639.57311804651,5414.110649781547,5865.035586311473,2678.6447656899527,2480.1438596705516,2877.145671709354,2960.928352356556,2923.5459797364288,2998.310724976683,47.49729650845998,52.50270349154,0.9667748499454667,0.9667748499454667,0.9844393839244624,0.017664533978995752,0.014283937449197837,0.021045130508793666,0.0,0.0,0.0,0.017664533978995752,0.014283937449197837,0.021045130508793666
high_volume_ingestion,30,3328.9907268173283,1372.5024187201025,289.73314468855165,3039.2575821287764,2875.824901098981,3202.6902631585717,1956.4883080972254,1808.1182331076786,2104.858383086772,1082.7692740315506,1063.0890171536428,1102.4495309094584,64.37388918930817,35.62611081069181,0.961931065605447,0.961931065605447,1.0,0.03806893439455291,0.036254523331765307,0.03988334545734051,0.0,0.0,0.0,0.03806893439455291,0.036254523331765307,0.03988334545734051
lab_ingestion_recovery,30,1964.17633647178,1801.953197016748,302.94016120598644,1661.2361752657935,1592.4782724764866,1729.9940780551003,162.22313945503265,146.3422450637573,178.104033846308,1499.0130358107613,1432.9212583395297,1565.1048132819928,9.765206288568654,90.23479371143137,0.8615114205330062,0.8615114205330062,1.0,0.13848857946699375,0.13154869721607765,0.14542846171790985,0.0,0.0,0.0,0.13848857946699375,0.13154869721607765,0.14542846171790985
multi_device_access,30,18754.457113943918,13105.341835772479,1059.1057004761622,17695.351413467757,17097.13483193008,18293.567995005433,5649.115278171435,5154.478818827866,6143.751737515005,12046.236135296314,11880.280527119005,12212.191743473624,31.92428986672709,68.07571013327286,0.9080532503435433,0.9080532503435433,0.9860829901408708,0.07802973979732751,0.06717371831845015,0.08888576127620487,0.0,0.0,0.0,0.07802973979732751,0.06717371831845015,0.08888576127620487
research_donation,30,4092.8044165553333,3716.8416453792715,1097.9578679660851,2994.8465485892475,2942.4664366648262,3047.226660513669,375.96277117606206,347.6639641624539,404.2615781896702,2618.8837774131866,2573.323119161837,2664.4444356645363,12.553657260107805,87.44634273989223,0.0,0.0,0.9844266784370698,0.9844266784370698,0.981068468216642,0.9877848886574976,0.0,0.0,0.0,0.9844266784370698,0.981068468216642,0.9877848886574976
trust_failure,30,6565.147467233253,5669.853945399579,1053.1473642308717,5512.000103002382,5411.627719723537,5612.372486281228,895.2935218336736,838.3894754428998,952.1975682244474,4616.706581168708,4542.519056816598,4690.894105520818,16.242625274009118,83.75737472599087,0.5922453616498807,0.5922453616498807,0.9827314218958985,0.39048606024601784,0.37936507665134195,0.40160704384069373,0.0,0.0,0.0,0.39048606024601784,0.37936507665134195,0.40160704384069373
