status_failure_probability,architecture,mean_total_requests,mean_success_rate,mean_status_check_rate,mean_status_check_failure_rate,mean_latency_ms
0.0,baseline,581.4333333333333,0.9667748499454666,0.0,0.0,6610.416254240373
0.0,capacity_matched,581.4333333333333,0.9667748499454666,0.0,0.0,3931.7714885504197
0.0,refined,581.4333333333333,1.0,1.0,0.0,981.1273182958541
0.02,baseline,581.4333333333333,0.9667748499454666,0.0,0.0,6610.416254240373
0.02,capacity_matched,581.4333333333333,0.9667748499454666,0.0,0.0,3931.7714885504197
0.02,refined,581.4333333333333,0.9790439632064319,1.0,0.020956036793568052,975.6860146941286
0.05,baseline,581.4333333333333,0.9667748499454666,0.0,0.0,6610.416254240373
0.05,capacity_matched,581.4333333333333,0.9667748499454666,0.0,0.0,3931.7714885504197
0.05,refined,581.4333333333333,0.9490834651766817,1.0,0.05091653482331826,973.8032495322891
0.1,baseline,581.4333333333333,0.9667748499454666,0.0,0.0,6610.416254240373
0.1,capacity_matched,581.4333333333333,0.9667748499454666,0.0,0.0,3931.7714885504197
0.1,refined,581.4333333333333,0.8973679707028843,1.0,0.10263202929711569,969.7937923626039
