architecture,scenario,replications,mean_p50_latency_ms,p50_ci95_low_ms,p50_ci95_high_ms,mean_p95_latency_ms,p95_ci95_low_ms,p95_ci95_high_ms,mean_p99_latency_ms,p99_ci95_low_ms,p99_ci95_high_ms,mean_maximum_latency_ms,maximum_ci95_low_ms,maximum_ci95_high_ms
baseline,audit_investigation,30,29691.894639376646,29212.206046716245,30171.583232037046,36950.25830277189,35937.49874261021,37963.017862933564,39570.76074396936,38178.46621435621,40963.05527358251,40275.85913187995,38683.752152695895,41867.96611106401
baseline,consent_based_access,30,6419.933638803798,6268.748271004407,6571.1190066031895,18329.611662298903,17455.414265112704,19203.809059485102,24793.966942854986,22888.813866373646,26699.120019336326,29728.784959247445,27711.818349610676,31745.751568884214
baseline,consent_revocation,30,4368.439265068261,4318.994309179845,4417.884220956677,10127.112228959708,9774.697761121633,10479.526696797782,13413.817897432235,12631.439926232888,14196.195868631581,16552.78306589297,15389.21365855545,17716.35247323049
baseline,cross_org_exchange,30,4757.0773638883165,4667.551509965044,4846.603217811589,11817.01857611718,11425.920032106927,12208.117120127432,16474.236504217974,15563.643962557306,17384.82904587864,20620.449297157713,19218.61919835741,22022.279395958016
baseline,emergency_access,30,5367.9524576934755,5201.1144526071785,5534.7904627797725,14537.714574620852,13731.3920730335,15344.037076208204,20146.709710125313,18817.60518699116,21475.814233259465,24826.06581818209,23004.314177143096,26647.817459221085
baseline,high_volume_ingestion,30,2076.8526561359017,1864.7844225579763,2288.920889713827,11860.528751239202,11241.99531099736,12479.062191481045,18435.399595293286,17168.184920072825,19702.614270513746,26181.818806806335,24577.81554017093,27785.82207344174
baseline,lab_ingestion_recovery,30,124.77973219348353,124.49790825525318,125.06155613171387,8657.934571580134,8554.431422827101,8761.437720333166,10213.447365087783,9967.828672670816,10459.06605750475,12288.150350399315,11468.500734092051,13107.79996670658
baseline,multi_device_access,30,15454.128085428058,14723.383831355914,16184.872339500202,39749.486546068074,37240.27760169877,42258.69549043738,51366.77292604006,47676.72324059863,55056.82261148149,56994.62984178969,52798.3380770384,61190.92160654098
baseline,research_donation,30,3702.7203409920216,3663.2434614929807,3742.1972204910626,7335.43573134494,7098.2585367422835,7572.6129259475965,9291.461645092584,9024.238491525992,9558.684798659177,11066.798639732215,10372.83995873099,11760.757320733439
baseline,trust_failure,30,6250.173484921274,5994.189168959097,6506.157800883452,11872.911046700667,11616.23448102196,12129.587612379373,14626.825525309296,14014.66769576291,15238.983354855682,17704.548049865185,16702.435902336034,18706.660197394336
capacity_matched,audit_investigation,30,29645.662877888193,29163.33252006315,30127.993235713235,36824.86536811103,35819.11846243405,37830.61227378801,39003.64900225822,37668.815605006566,40338.48239950988,39592.35696069116,38075.30983938243,41109.40408199989
capacity_matched,consent_based_access,30,3931.569000064972,3913.2935470475354,3949.8444530824086,7099.026167868991,6913.637875353624,7284.414460384359,9118.346056583305,8965.039569724697,9271.652543441913,11665.060142182172,11090.731737088316,12239.388547276028
capacity_matched,consent_revocation,30,3752.022456774068,3730.479859747581,3773.565053800555,6122.177314229789,5958.586949432433,6285.767679027144,8796.390497776765,8585.19563164524,9007.58536390829,10298.879047401795,9912.225755756725,10685.532339046866
