workload_multiplier,architecture,scenario,mean_total_requests,mean_success_rate,mean_latency_ms,mean_median_latency_ms
1,baseline,all_scenarios,5168.0,0.8821252869675027,6196875.44096002,6210144.258292243
1,baseline,audit_investigation,17.4,0.9163434085756403,6317965.313337251,6358500.221590174
1,baseline,consent_based_access,661.7333333333333,0.8923977038723377,6182296.097312039,6164534.727763877
1,baseline,consent_revocation,400.43333333333334,0.8875317061426659,6209663.0712623065,6243555.476585384
1,baseline,cross_org_exchange,497.96666666666664,0.942540159089199,6196705.172086885,6180465.326105543
1,baseline,emergency_access,581.4333333333333,0.9700201786094761,6196805.082665018,6186314.205828336
1,baseline,high_volume_ingestion,1965.0,0.9608660612592004,6193595.867334583,6218842.114800092
1,baseline,lab_ingestion_recovery,337.8,0.8553572015575893,6203794.542879748,6263788.608305705
1,baseline,multi_device_access,201.23333333333332,0.9166467361720443,6164017.424099447,6157840.49914464
1,baseline,research_donation,168.06666666666666,0.0,6212121.580619648,6210674.942795935
1,baseline,trust_failure,336.93333333333334,0.6002163349193933,6220083.467631917,6234146.200689045
1,capacity_matched,all_scenarios,5168.0,0.8821252869675027,2409391.911601441,2415144.9254350485
1,capacity_matched,audit_investigation,17.4,0.9163434085756403,2471946.8985527186,2485882.0078247767
1,capacity_matched,consent_based_access,661.7333333333333,0.8923977038723377,2405314.7867079983,2398981.1399556454
1,capacity_matched,consent_revocation,400.43333333333334,0.8875317061426659,2415606.6972501273,2428959.4820383224
1,capacity_matched,cross_org_exchange,497.96666666666664,0.942540159089199,2410217.9114848003,2405006.3963421625
1,capacity_matched,emergency_access,581.4333333333333,0.9700201786094761,2410525.7949974197,2404399.4820069843
1,capacity_matched,high_volume_ingestion,1965.0,0.9608660612592004,2405916.229819251,2413954.9256640626
1,capacity_matched,lab_ingestion_recovery,337.8,0.8553572015575893,2411044.768161656,2435536.733208441
1,capacity_matched,multi_device_access,201.23333333333332,0.9166467361720443,2400651.373859012,2400656.890779675
1,capacity_matched,research_donation,168.06666666666666,0.0,2416358.411212855,2417743.5127904858
1,capacity_matched,trust_failure,336.93333333333334,0.6002163349193933,2420614.509458983,2424449.208736383
1,refined,all_scenarios,5168.0,0.9871463543751376,933.3470308769959,654.265492200482
1,refined,audit_investigation,17.4,0.9895927601809955,939.2977336956213,805.3051819211779
1,refined,consent_based_access,661.7333333333333,0.9648553996153734,1278.7773369209206,787.1621638461089
1,refined,consent_revocation,400.43333333333334,0.9621795675212337,1240.8781671130544,742.3115464702761
1,refined,cross_org_exchange,497.96666666666664,0.9867275331293425,1220.908456407977,716.0536133146488
1,refined,emergency_access,581.4333333333333,0.9826189949013544,1188.6594698473107,697.4756850848186
1,refined,high_volume_ingestion,1965.0,1.0,543.3887445017147,90.72165669797414
1,refined,lab_ingestion_recovery,337.8,1.0,552.8898415120409,122.75786702055977
1,refined,multi_device_access,201.23333333333332,0.9846007470115872,1270.3381347141558,768.6035628706614
1,refined,research_donation,168.06666666666666,0.9857955501146994,1332.3097688705298,829.1344491773496
1,refined,trust_failure,336.93333333333334,0.9831068493475569,1277.9686127300874,696.3594002964953
2,baseline,all_scenarios,10345.166666666666,0.884069187170444,14241978.389808906,14240812.557885664
2,baseline,audit_investigation,32.8,0.9031315339003687,14287611.677294452,14241775.604710978
2,baseline,consent_based_access,1317.2666666666667,0.8913599982094229,14260783.675942358,14257173.54808825
2,baseline,consent_revocation,791.2333333333333,0.8938801490011107,14220236.518645324,14281401.730291089
2,baseline,cross_org_exchange,979.2666666666667,0.9407564814324938,14198016.172819154,14180535.65312416
2,baseline,emergency_access,1179.8333333333333,0.9704936818720333,14311636.078736486,14351426.832901744
2,baseline,high_volume_ingestion,3994.6,0.9621636246735376,14248612.760933409,14253363.817368032
2,baseline,lab_ingestion_recovery,662.8333333333334,0.8514764443772797,14265597.66777125,14172982.563715344
2,baseline,multi_device_access,394.56666666666666,0.9158321821443588,14127092.298235077,14033014.116510587
2,baseline,research_donation,332.56666666666666,0.0,14232004.128626728,14297537.04089368
2,baseline,trust_failure,660.2,0.6047058206782518,14177096.601488322,14131664.09248019
2,capacity_matched,all_scenarios,10345.166666666666,0.884069187170444,6711386.03942671,6712761.792017938
2,capacity_matched,audit_investigation,32.8,0.9031315339003687,6746484.472517034,6725012.962191144
2,capacity_matched,consent_based_access,1317.2666666666667,0.8913599982094229,6721458.590306295,6721903.65324175
2,capacity_matched,consent_revocation,791.2333333333333,0.8938801490011107,6702180.215305268,6732931.521180479
2,capacity_matched,cross_org_exchange,979.2666666666667,0.9407564814324938,6691937.81808296,6686396.094138301
2,capacity_matched,emergency_access,1179.8333333333333,0.9704936818720333,6745241.23421292,6767994.523040199
2,capacity_matched,high_volume_ingestion,3994.6,0.9621636246735376,6712636.614540596,6718265.57001542
2,capacity_matched,lab_ingestion_recovery,662.8333333333334,0.8514764443772797,6721153.75539736,6680882.845910345
2,capacity_matched,multi_device_access,394.56666666666666,0.9158321821443588,6660821.296037628,6618796.191593925
2,capacity_matched,research_donation,332.56666666666666,0.0,6707682.910567534,6739624.471731525
2,capacity_matched,trust_failure,660.2,0.6047058206782518,6682849.621033751,6664433.805897629
2,refined,all_scenarios,10345.166666666666,0.9878336383304553,1417.972932310224,737.3540385432742
2,refined,audit_investigation,32.8,0.9800568351964484,1644.2174519104406,1026.8206595986337
2,refined,consent_based_access,1317.2666666666667,0.9664558739709805,1709.6296244252997,842.3599278969997
2,refined,consent_revocation,791.2333333333333,0.9660091305794726,1657.6553893094363,798.9022697833567
2,refined,cross_org_exchange,979.2666666666667,0.9834100936518607,1634.2549254062421,772.6738517556811
2,refined,emergency_access,1179.8333333333333,0.9853451179993722,1632.2349410369886,756.9495818518893
2,refined,high_volume_ingestion,3994.6,1.0,1107.570627319745,505.18101469683546
2,refined,lab_ingestion_recovery,662.8333333333334,1.0,1084.9790921920699,495.9143701556874
2,refined,multi_device_access,394.56666666666666,0.9841103516449288,1702.7348776153924,824.5909408892079
2,refined,research_donation,332.56666666666666,0.9863951057971586,1732.7844641464208,884.7918027921631
2,refined,trust_failure,660.2,0.9852006702552558,1717.8249702180688,756.930320066772
5,baseline,all_scenarios,25840.1,0.883971428898577,38504696.8111751,38500033.05655783
5,baseline,audit_investigation,79.3,0.9045701665598348,38128405.54994385,37645095.24212741
5,baseline,consent_based_access,3293.5666666666666,0.8940306483431468,38629488.28371044,38684800.11739573
5,baseline,consent_revocation,1988.4666666666667,0.8906344565372651,38413012.599270694,38413255.18334555
5,baseline,cross_org_exchange,2505.7,0.939328184692732,38522973.5096877,38605846.255644836
5,baseline,emergency_access,2954.9666666666667,0.970326855096347,38518155.43955939,38436979.742754966
5,baseline,high_volume_ingestion,9907.7,0.9610946703661611,38484829.60483415,38439068.97101021
5,baseline,lab_ingestion_recovery,1646.9666666666667,0.85602260422167,38449349.47838338,38519808.16261014
