architecture,scenario,resource,capacity,mean_calls,mean_utilization,maximum_utilization,mean_wait_ms,maximum_wait_ms,saturation_rate,mean_calls_delayed_beyond_horizon
baseline,audit_investigation,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,audit_investigation,audit,2,17.633333333333333,0.08012504139718117,0.13370689707601968,92.99437341375514,19589.00214304822,0.0,0.0
baseline,audit_investigation,compliance,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,audit_investigation,connector,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,audit_investigation,fhir,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,audit_investigation,orchestrator,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,audit_investigation,policy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,audit_investigation,queue,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,audit_investigation,session,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,audit_investigation,status,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,audit_investigation,trust,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,audit_investigation,verifier,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_based_access,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_based_access,audit,2,578.5,0.00012501636167217922,0.00013683379325091105,0.0,0.0,0.0,0.0
baseline,consent_based_access,compliance,1,285.96666666666664,0.0003118316760309406,0.0003513265675778574,0.0,0.0,0.0,0.0
baseline,consent_based_access,connector,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_based_access,fhir,2,1157.0333333333333,0.0009595433266773295,0.0010398283145067577,0.0,0.0,0.0,0.0
baseline,consent_based_access,orchestrator,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_based_access,policy,2,627.9666666666667,0.0005715315131908238,0.0006239998910163191,0.0,0.0,0.0,0.0
baseline,consent_based_access,queue,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_based_access,session,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_based_access,status,1,627.9666666666667,0.013322643677554489,0.014538304553622686,0.0,0.0,0.0,0.0
baseline,consent_based_access,trust,1,648.0333333333333,0.6884627036813737,0.7403670603258519,3984.3523437193385,44228.854270769036,0.0,1.2
baseline,consent_based_access,verifier,2,1296.1,0.005307967401396185,0.005791381426689177,0.0735140693519499,44.156715237932076,0.0,0.0
baseline,consent_revocation,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_revocation,audit,2,347.5,7.46812272219448e-05,8.48483360034417e-05,0.0,0.0,0.0,0.0
baseline,consent_revocation,compliance,1,173.1,0.00018805179707024564,0.00020745680553185746,0.0,0.0,0.0,0.0
baseline,consent_revocation,connector,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_revocation,fhir,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_revocation,orchestrator,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_revocation,policy,2,378.6333333333333,0.0003449003432844773,0.00037718545792918604,0.0,0.0,0.0,0.0
baseline,consent_revocation,queue,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_revocation,session,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,consent_revocation,status,1,378.6333333333333,0.00803600920403124,0.00876549624383763,0.0,0.0,0.0,0.0
baseline,consent_revocation,trust,1,389.7,0.4142090712879244,0.4510959148763213,1273.0348074285853,20118.76926156765,0.0,0.1
baseline,consent_revocation,verifier,2,779.4,0.003181490406250454,0.0034962783663575457,0.04810273931768018,37.84652932290555,0.0,0.0
baseline,cross_org_exchange,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,cross_org_exchange,audit,2,456.6666666666667,9.820002081717276e-05,0.00010951238637523265,0.0,0.0,0.0,0.0
baseline,cross_org_exchange,compliance,1,226.63333333333333,0.0002474354356860224,0.00027949200358489865,0.0,0.0,0.0,0.0
baseline,cross_org_exchange,connector,1,470.26666666666665,0.0010679469636791768,0.0011819365876874943,0.0,0.0,0.0,0.0
baseline,cross_org_exchange,fhir,2,913.3333333333334,0.0007584744480591182,0.0008557015192950031,0.0,0.0,0.0,0.0
baseline,cross_org_exchange,orchestrator,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,cross_org_exchange,policy,2,456.6666666666667,0.0004163362720830214,0.0004618718777184981,0.0,0.0,0.0,0.0
